Name,Stat,Line,Odds,Array,Temp,Size,Avg,Diff,Rel Diff,Percent,Sample Size,Score,GameId
Bennedict Mathurin,SG,IND,NYK,Pts+Rebs,9.5,goblin,"[20, 10, 22, 46, 21, 12, 0, 4, 22, 32]","[12, 0, 4, 22, 32]",9,10,18.9,14.0,9.4,0.648,98.947,10,2.61,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Bennedict Mathurin,SG,IND,NYK,Pts+Rebs+Asts,9.5,goblin,"[20, 10, 23, 48, 25, 12, 1, 6, 24, 32]","[12, 1, 6, 24, 32]",9,10,20.1,15.0,10.6,0.731,111.579,10,2.63,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Bennedict Mathurin,SG,IND,NYK,Rebounds,1.5,goblin,"[0, 6, 2, 8, 3, 3, 0, 2, 2, 9]","[3, 0, 2, 2, 9]",9,10,3.5,3.2,2.0,0.308,133.333,10,2.56,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Bennedict Mathurin,SG,IND,NYK,Rebs+Asts,2.5,goblin,"[0, 6, 3, 10, 7, 3, 1, 4, 4, 9]","[3, 1, 4, 4, 9]",9,10,4.7,4.2,2.2,0.293,88.0,10,2.555,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Josh Hart,SF,NYK,IND,Rebounds,6.5,goblin,"[10, 12, 10, 13, 15, 18, 3, 11, 8, 8, 10, 10, 10, 13, 6, 10, 11, 10]","[13, 6, 10, 11, 10]",16.5,18,10.444,10.0,3.944,0.343,60.684,18,4.186,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Josh Hart,SF,NYK,IND,Rebounds,7.5,goblin,"[10, 12, 10, 13, 15, 18, 3, 11, 8, 8, 10, 10, 10, 13, 6, 10, 11, 10]","[13, 6, 10, 11, 10]",16,18,10.444,10.0,2.944,0.236,39.259,18,4.137,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Karl-Anthony Towns,C,NYK,IND,Points,17.5,goblin,"[40, 21, 30, 40, 35, 20, 24, 24, 24]","[35, 20, 24, 24, 24]",9,9,28.667,25.4,11.167,0.496,63.81,9,2.467,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Karl-Anthony Towns,C,NYK,IND,Points,18.5,goblin,"[40, 21, 30, 40, 35, 20, 24, 24, 24]","[35, 20, 24, 24, 24]",9,9,28.667,25.4,10.167,0.433,54.955,9,2.451,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Karl-Anthony Towns,C,NYK,IND,Pts+Asts,19.5,goblin,"[44, 21, 30, 45, 37, 20, 25, 27, 27]","[37, 20, 25, 27, 27]",9,9,30.667,27.2,11.167,0.456,57.265,9,2.457,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Karl-Anthony Towns,C,NYK,IND,Pts+Rebs,29.5,goblin,"[52, 36, 39, 52, 47, 27, 39, 36, 37]","[47, 27, 39, 36, 37]",8,9,40.556,37.2,11.056,0.32,37.476,9,2.355,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Karl-Anthony Towns,C,NYK,IND,Pts+Rebs+Asts,29.5,goblin,"[56, 36, 39, 57, 49, 27, 40, 39, 40]","[49, 27, 40, 39, 40]",8,9,42.556,39.0,13.056,0.378,44.256,9,2.369,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Karl-Anthony Towns,C,NYK,IND,Rebounds,8.5,goblin,"[12, 15, 9, 12, 12, 7, 15, 12, 13]","[12, 7, 15, 12, 13]",8,9,11.889,11.8,3.389,0.251,39.869,9,2.342,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Landry Shamet,SF,NYK,IND,Rebounds,0.5,goblin,"[1, 0, 2, 1]","[0, 1, 0, 2, 1]",4,4,1.0,0.8,0.5,0.091,100.0,4,1.351,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mikal Bridges,SG,NYK,IND,Assists,1.5,goblin,"[4, 6, 4, 5, 4, 5, 5, 2, 1, 2, 5]","[5, 2, 1, 2, 5]",10.5,11,3.909,3.0,2.409,0.371,160.606,11,2.805,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Miles McBride,SG,NYK,IND,3-PT Made,0.5,goblin,"[1, 3, 0, 0, 0, 2, 3, 3, 4, 0, 2, 1, 4, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",16.5,18,1.556,1.0,1.056,0.192,211.111,18,4.155,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Miles McBride,SG,NYK,IND,Points,4.5,goblin,"[5, 16, 6, 0, 4, 10, 16, 17, 20, 8, 8, 7, 15, 9, 5, 9, 3, 5]","[9, 5, 9, 3, 5]",16.5,18,9.056,6.2,4.556,0.48,101.235,18,4.197,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Miles McBride,SG,NYK,IND,Pts+Asts,4.5,goblin,"[6, 16, 6, 1, 5, 11, 20, 21, 21, 10, 10, 8, 16, 10, 7, 9, 3, 7]","[10, 7, 9, 3, 7]",17,18,10.389,7.2,5.889,0.62,130.864,18,4.243,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Miles McBride,SG,NYK,IND,Pts+Rebs,4.5,goblin,"[5, 17, 8, 0, 4, 12, 21, 18, 22, 13, 10, 8, 18, 11, 6, 9, 5, 6]","[11, 6, 9, 5, 6]",17.5,18,10.722,7.4,6.222,0.655,138.272,18,4.284,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Miles McBride,SG,NYK,IND,Pts+Rebs+Asts,4.5,goblin,"[6, 17, 8, 1, 5, 13, 25, 22, 23, 15, 12, 9, 19, 12, 8, 9, 5, 8]","[12, 8, 9, 5, 8]",18,18,12.056,8.4,7.556,0.795,167.901,18,4.33,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Pts+Rebs,9.5,goblin,"[4, 10, 15, 12, 13, 12]","[10, 15, 12, 13, 12]",6,6,11.0,12.4,1.5,0.103,15.789,6,1.781,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Pts+Rebs,10.5,goblin,"[4, 10, 15, 12, 13, 12]","[10, 15, 12, 13, 12]",5.5,6,11.0,12.4,0.5,0.032,4.762,6,1.715,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Pts+Rebs+Asts,11.5,goblin,"[5, 11, 15, 13, 14, 12]","[11, 15, 13, 14, 12]",5.5,6,11.667,13.0,0.167,0.01,1.449,6,1.709,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Pts+Rebs+Asts,9.5,goblin,"[5, 11, 15, 13, 14, 12]","[11, 15, 13, 14, 12]",6,6,11.667,13.0,2.167,0.149,22.807,6,1.792,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Pts+Rebs+Asts,10.5,goblin,"[5, 11, 15, 13, 14, 12]","[11, 15, 13, 14, 12]",6,6,11.667,13.0,1.167,0.075,11.111,6,1.773,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Rebounds,5.5,goblin,"[2, 8, 9, 6, 7, 6]","[8, 9, 6, 7, 6]",6,6,6.333,7.2,0.833,0.079,15.152,6,1.774,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Mitchell Robinson,C,NYK,IND,Rebs+Asts,6.5,goblin,"[3, 9, 9, 7, 8, 6]","[9, 9, 7, 8, 6]",5.5,6,7.0,7.8,0.5,0.043,7.692,6,1.717,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Myles Turner,C,IND,NYK,3-PT Made,0.5,goblin,"[6, 0, 2, 2, 0, 2, 3, 4, 1, 2, 0, 5, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",15.5,17,1.882,1.0,1.382,0.251,276.471,17,3.965,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Myles Turner,C,IND,NYK,Assists,0.5,goblin,"[2, 1, 4, 3, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 3, 1, 2]","[2, 1, 3, 1, 2]",17,17,1.824,1.8,1.324,0.241,264.706,17,4.01,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Myles Turner,C,IND,NYK,Rebs+Asts,4.5,goblin,"[10, 5, 12, 5, 8, 11, 7, 7, 11, 6, 8, 7, 7, 4, 7, 4, 4]","[7, 4, 7, 4, 4]",15.5,17,7.235,5.2,2.735,0.288,60.784,17,3.942,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Assists,0.5,goblin,"[3, 4, 3, 0, 1, 2, 2, 1, 2, 1, 0]","[2, 1, 2, 1, 0]",10.5,11,1.727,1.2,1.227,0.223,245.455,11,2.77,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Points,10.5,goblin,"[13, 13, 28, 5, 14, 25, 16, 16, 16, 22, 11]","[16, 16, 16, 22, 11]",11,11,16.273,16.2,5.773,0.372,54.978,11,2.843,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Points,11.5,goblin,"[13, 13, 28, 5, 14, 25, 16, 16, 16, 22, 11]","[16, 16, 16, 22, 11]",10.5,11,16.273,16.2,4.773,0.289,41.502,11,2.792,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Points,12.5,goblin,"[13, 13, 28, 5, 14, 25, 16, 16, 16, 22, 11]","[16, 16, 16, 22, 11]",10,11,16.273,16.2,3.773,0.216,30.182,11,2.743,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Pts+Asts,14.5,goblin,"[16, 17, 31, 5, 15, 27, 18, 17, 18, 23, 11]","[18, 17, 18, 23, 11]",10,11,18.0,17.4,3.5,0.179,24.138,11,2.732,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Pts+Rebs,14.5,goblin,"[17, 22, 32, 5, 18, 29, 19, 21, 18, 26, 15]","[19, 21, 18, 26, 15]",11,11,20.182,19.8,5.682,0.291,39.185,11,2.822,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Pts+Rebs+Asts,18.5,goblin,"[20, 26, 35, 5, 19, 31, 21, 22, 20, 27, 15]","[21, 22, 20, 27, 15]",10,11,21.909,21.0,3.409,0.145,18.428,11,2.723,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
OG Anunoby,PF,NYK,IND,Rebs+Asts,4.5,goblin,"[7, 13, 7, 0, 5, 6, 5, 6, 4, 5, 4]","[5, 6, 4, 5, 4]",10.0,11,5.636,4.8,1.136,0.12,25.253,11,2.715,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Assists,0.5,goblin,"[2, 2, 0, 3, 1, 3, 2, 2, 1, 4, 4, 1, 0, 2, 0, 2, 0]","[0, 2, 0, 2, 0]",15.5,17,1.706,0.8,1.206,0.219,241.176,17,3.927,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Points,4.5,goblin,"[9, 12, 9, 12, 20, 2, 14, 7, 11, 3, 8, 9, 8, 4, 8, 5, 11]","[8, 4, 8, 5, 11]",15.5,17,8.941,7.2,4.441,0.467,98.693,17,4.008,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Pts+Asts,4.5,goblin,"[11, 14, 9, 15, 21, 5, 16, 9, 12, 7, 12, 10, 8, 6, 8, 7, 11]","[8, 6, 8, 7, 11]",17,17,10.647,8.0,6.147,0.647,136.601,17,4.098,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Pts+Asts,7.5,goblin,"[11, 14, 9, 15, 21, 5, 16, 9, 12, 7, 12, 10, 8, 6, 8, 7, 11]","[8, 6, 8, 7, 11]",15.0,17,10.647,8.0,3.147,0.252,41.961,17,3.919,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Obi Toppin,PF,IND,NYK,Pts+Rebs+Asts,9.5,goblin,"[19, 17, 11, 21, 24, 6, 17, 14, 16, 10, 13, 13, 18, 8, 12, 9, 15]","[18, 8, 12, 9, 15]",15.5,17,14.294,12.4,4.794,0.331,50.464,17,3.956,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
Pascal Siakam,PF,IND,NYK,Rebounds,4.5,goblin,"[8, 4, 7, 6, 6, 9, 7, 4, 8, 7, 4, 5, 8, 5, 5, 5, 4, 5, 6]","[5, 5, 4, 5, 6]",17.0,19,5.947,5.0,1.447,0.152,32.164,19,4.326,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Assists,2.5,goblin,"[3, 6, 3, 12, 1, 10, 5, 4, 7, 5, 3, 6, 2, 4, 3, 3, 5]","[2, 4, 3, 3, 5]",16.5,17,4.824,3.4,2.324,0.31,92.941,17,3.995,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Points,4.5,goblin,"[5, 16, 18, 10, 6, 15, 7, 15, 12, 7, 6, 7, 10, 10, 12, 6, 7]","[10, 10, 12, 6, 7]",17,17,9.941,9.0,5.441,0.573,120.915,17,4.088,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Points,5.5,goblin,"[5, 16, 18, 10, 6, 15, 7, 15, 12, 7, 6, 7, 10, 10, 12, 6, 7]","[10, 10, 12, 6, 7]",17,17,9.941,9.0,4.441,0.423,80.749,17,4.051,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Pts+Asts,9.5,goblin,"[8, 22, 21, 22, 7, 25, 12, 19, 19, 12, 9, 13, 12, 14, 15, 9, 12]","[12, 14, 15, 9, 12]",15.0,17,14.765,12.4,5.265,0.363,55.418,17,3.97,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Pts+Asts,7.5,goblin,"[8, 22, 21, 22, 7, 25, 12, 19, 19, 12, 9, 13, 12, 14, 15, 9, 12]","[12, 14, 15, 9, 12]",17,17,14.765,12.4,7.265,0.581,96.863,17,4.086,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
T.J. McConnell,PG,IND,NYK,Pts+Rebs+Asts,9.5,goblin,"[8, 26, 22, 26, 10, 29, 12, 21, 21, 14, 9, 14, 16, 16, 18, 9, 17]","[16, 16, 18, 9, 17]",16.0,17,16.941,15.2,7.441,0.513,78.328,17,4.036,NBA_game_fz9NbJvEWFMnkpWbNRpX4fbU
